Año,Mes,Grupo,Subgrupo,Indicador_grup,Indicador
2014,Marzo,Alimentos y No alimentos,Alimentos,2.82,Variación acumulada
2014,Abril,Alimentos y No alimentos,Alimentos,100.34,Índice
2014,Abril,Alimentos y No alimentos,Alimentos,0.56,Variación mensual
2014,Abril,Alimentos y No alimentos,Alimentos,4.35,Variación anual
2014,Abril,Alimentos y No alimentos,Alimentos,3.39,Variación acumulada
2014,Mayo,Alimentos y No alimentos,Alimentos,99.4,Índice
2014,Mayo,Alimentos y No alimentos,Alimentos,-0.94,Variación mensual
2014,Mayo,Alimentos y No alimentos,Alimentos,4.31,Variación anual
2014,Mayo,Alimentos y No alimentos,Alimentos,2.43,Variación acumulada
2014,Junio,Alimentos y No alimentos,Alimentos,98.97,Índice
